id,page,x,y,w,h,zoom,method,result,nominal,lsl,usl
HS-001,0,394.466,296.443,66.7984,52.9644,220,ftyui,,120,119.5,120.5
HS-002,0,385.771,464.427,48.6166,53.3597,220,rtyu,,24,23.995,24.005
HS-003,0,431.225,488.933,41.502,45.0593,220,rtyu,,45,44.995,45.005
HS-004,0,608.696,443.874,58.8933,23.3202,220,rtyu,,3.3,3.295,3.305
HS-005,0,668.379,445.455,47.0356,16.996,220,,,7,0,14
HS-006,0,614.229,463.636,50.5929,18.1818,220,,,4,,
HS-007,0,667.984,463.241,39.1304,15.415,220,,,8,7.99,8.01
HS-008,0,615.415,296.838,95.6522,20.5534,220,,,8.4,8.3,8.5
HS-009,0,614.625,316.601,57.3123,19.7628,220,,,10,9.99,10.01
HS-010,0,679.051,317.787,27.2727,15.8103,220,,,90,89,91
